date,open,high,low,close
2/26/2024 5:40:00 AM,18237.0,18241.0,18235.25,18238.75
2/26/2024 5:45:00 AM,18239.0,18246.5,18238.5,18245.5
2/26/2024 5:50:00 AM,18245.25,18248.25,18240.5,18241.75
2/26/2024 5:55:00 AM,18241.25,18244.5,18238.0,18240.5
2/26/2024 6:00:00 AM,18240.0,18241.5,18234.25,18241.0
2/26/2024 6:05:00 AM,18241.0,18242.5,18234.75,18238.75
2/26/2024 6:10:00 AM,18238.75,18239.0,18233.5,18237.75
2/26/2024 6:15:00 AM,18238.0,18241.0,18237.75,18240.5
2/26/2024 6:20:00 AM,18240.25,18250.25,18240.0,18247.0
2/26/2024 6:25:00 AM,18247.0,18250.0,18243.75,18246.0
2/26/2024 6:30:00 AM,18247.0,18252.75,18245.0,18250.0
2/26/2024 6:35:00 AM,18249.75,18250.5,18241.5,18245.25
2/26/2024 6:40:00 AM,18244.75,18246.0,18241.5,18245.5
2/26/2024 6:45:00 AM,18245.75,18249.5,18245.5,18246.0
2/26/2024 6:50:00 AM,18245.5,18245.75,18236.0,18236.25
2/26/2024 6:55:00 AM,18236.0,18236.0,18229.0,18231.5
2/26/2024 7:00:00 AM,18231.25,18237.5,18231.25,18236.5
2/26/2024 7:05:00 AM,18237.0,18240.25,18223.0,18224.5
2/26/2024 7:10:00 AM,18224.0,18230.75,18222.5,18226.5
2/26/2024 7:15:00 AM,18226.75,18229.5,18223.5,18227.25
2/26/2024 7:20:00 AM,18227.5,18235.0,18222.75,18234.75
2/26/2024 7:25:00 AM,18235.25,18240.5,18234.75,18239.5
2/26/2024 7:30:00 AM,18240.0,18240.0,18232.25,18236.0
2/26/2024 7:35:00 AM,18235.25,18236.75,18229.25,18232.25
2/26/2024 7:40:00 AM,18231.75,18238.25,18229.75,18230.75
2/26/2024 7:45:00 AM,18230.75,18233.75,18224.0,18227.0
2/26/2024 7:50:00 AM,18226.5,18230.75,18225.0,18226.0
2/26/2024 7:55:00 AM,18226.5,18233.25,18222.75,18230.5
2/26/2024 8:00:00 AM,18230.5,18231.5,18225.5,18225.5
2/26/2024 8:05:00 AM,18226.0,18232.0,18222.5,18223.75
2/26/2024 8:10:00 AM,18224.0,18237.5,18219.25,18237.5
2/26/2024 8:15:00 AM,18237.0,18243.75,18235.0,18243.5
2/26/2024 8:20:00 AM,18243.5,18249.5,18238.75,18248.0
2/26/2024 8:25:00 AM,18248.0,18259.5,18247.25,18258.75
2/26/2024 8:30:00 AM,18258.5,18259.5,18250.25,18253.5
2/26/2024 8:35:00 AM,18254.0,18269.25,18253.25,18265.0
2/26/2024 8:40:00 AM,18265.0,18270.5,18261.75,18268.5
2/26/2024 8:45:00 AM,18268.5,18275.5,18267.75,18271.0
2/26/2024 8:50:00 AM,18271.25,18271.5,18260.75,18262.5
2/26/2024 8:55:00 AM,18262.5,18263.25,18259.0,18261.75
2/26/2024 9:00:00 AM,18261.25,18265.25,18259.5,18263.0
2/26/2024 9:05:00 AM,18262.75,18263.5,18256.75,18258.0
2/26/2024 9:10:00 AM,18258.25,18259.25,18251.75,18255.5
2/26/2024 9:15:00 AM,18255.75,18260.0,18252.75,18253.5
2/26/2024 9:20:00 AM,18253.75,18254.25,18249.25,18251.5
2/26/2024 9:25:00 AM,18251.0,18254.25,18245.75,18247.75
2/26/2024 9:30:00 AM,18248.25,18264.75,18242.5,18264.75
2/26/2024 9:35:00 AM,18264.75,18298.25,18257.25,18263.75
2/26/2024 9:40:00 AM,18264.0,18282.0,18255.0,18273.75
2/26/2024 9:45:00 AM,18274.0,18280.0,18238.25,18240.0
2/26/2024 9:50:00 AM,18240.0,18252.25,18213.5,18242.5
2/26/2024 9:55:00 AM,18242.5,18249.75,18226.75,18244.25
2/26/2024 10:00:00 AM,18245.5,18247.5,18222.75,18233.0
2/26/2024 10:05:00 AM,18232.5,18243.5,18215.75,18242.25
2/26/2024 10:10:00 AM,18242.5,18263.0,18240.5,18253.25
2/26/2024 10:15:00 AM,18253.5,18262.5,18238.75,18244.75
2/26/2024 10:20:00 AM,18244.75,18273.25,18239.25,18271.75
2/26/2024 10:25:00 AM,18271.5,18281.0,18261.5,18269.25
2/26/2024 10:30:00 AM,18269.5,18289.0,18264.75,18268.5
2/26/2024 10:35:00 AM,18268.5,18282.0,18254.5,18281.75
2/26/2024 10:40:00 AM,18282.0,18287.75,18269.0,18271.5
2/26/2024 10:45:00 AM,18272.25,18284.75,18259.25,18281.5
2/26/2024 10:50:00 AM,18281.5,18287.75,18272.75,18273.75
2/26/2024 10:55:00 AM,18274.0,18285.0,18269.75,18278.0
2/26/2024 11:00:00 AM,18277.75,18281.75,18263.5,18265.0
2/26/2024 11:05:00 AM,18265.25,18278.0,18257.75,18266.0
2/26/2024 11:10:00 AM,18265.75,18266.75,18238.75,18257.0
2/26/2024 11:15:00 AM,18257.0,18270.75,18251.75,18258.25
2/26/2024 11:20:00 AM,18258.25,18275.25,18255.5,18264.5
2/26/2024 11:25:00 AM,18264.0,18269.75,18246.5,18247.5
2/26/2024 11:30:00 AM,18247.5,18266.0,18240.25,18264.25
2/26/2024 11:35:00 AM,18265.0,18278.5,18261.5,18268.25
2/26/2024 11:40:00 AM,18268.5,18285.5,18265.25,18282.25
2/26/2024 11:45:00 AM,18282.0,18290.25,18280.5,18289.25
2/26/2024 11:50:00 AM,18289.75,18296.0,18284.75,18291.0
2/26/2024 11:55:00 AM,18291.25,18306.25,18290.5,18303.0
2/26/2024 12:00:00 PM,18303.25,18303.5,18291.25,18293.5
2/26/2024 12:05:00 PM,18293.75,18294.5,18266.75,18277.5
2/26/2024 12:10:00 PM,18277.5,18284.75,18273.75,18274.75
2/26/2024 12:15:00 PM,18275.25,18289.25,18271.75,18288.25
2/26/2024 12:20:00 PM,18288.25,18290.0,18280.25,18280.5
2/26/2024 12:25:00 PM,18281.0,18300.75,18280.0,18300.0
2/26/2024 12:30:00 PM,18300.25,18305.0,18291.75,18297.5
2/26/2024 12:35:00 PM,18297.0,18307.0,18290.75,18292.75
2/26/2024 12:40:00 PM,18293.5,18294.5,18280.75,18283.75
2/26/2024 12:45:00 PM,18284.25,18290.5,18275.5,18277.5
2/26/2024 12:50:00 PM,18277.5,18282.0,18269.75,18275.5
2/26/2024 12:55:00 PM,18275.5,18280.75,18264.75,18268.25
2/26/2024 1:00:00 PM,18267.75,18277.25,18265.5,18274.5
2/26/2024 1:05:00 PM,18274.75,18279.75,18252.5,18272.75
2/26/2024 1:10:00 PM,18272.75,18285.0,18269.25,18281.25
2/26/2024 1:15:00 PM,18282.25,18292.0,18282.25,18283.0
2/26/2024 1:20:00 PM,18282.75,18287.0,18261.5,18262.75
2/26/2024 1:25:00 PM,18263.25,18269.5,18256.0,18267.75
2/26/2024 1:30:00 PM,18267.75,18268.0,18241.25,18247.0
2/26/2024 1:35:00 PM,18247.5,18255.75,18236.75,18240.5
2/26/2024 1:40:00 PM,18241.0,18247.25,18227.75,18246.25
2/26/2024 1:45:00 PM,18246.0,18254.25,18244.0,18252.0
2/26/2024 1:50:00 PM,18252.25,18260.0,18247.5,18250.25
2/26/2024 1:55:00 PM,18249.75,18253.0,18238.5,18251.75
2/26/2024 2:00:00 PM,18252.0,18263.0,18250.0,18262.0
2/26/2024 2:05:00 PM,18262.0,18275.5,18261.25,18274.25
2/26/2024 2:10:00 PM,18274.0,18283.0,18271.25,18274.25
2/26/2024 2:15:00 PM,18274.25,18277.25,18253.25,18255.75
2/26/2024 2:20:00 PM,18256.0,18265.5,18255.5,18263.0
2/26/2024 2:25:00 PM,18263.5,18283.75,18258.75,18283.25
2/26/2024 2:30:00 PM,18283.25,18286.0,18275.5,18279.25
2/26/2024 2:35:00 PM,18279.0,18289.25,18275.0,18278.0
2/26/2024 2:40:00 PM,18278.25,18281.75,18266.0,18276.25
2/26/2024 2:45:00 PM,18276.0,18280.0,18261.75,18269.75
2/26/2024 2:50:00 PM,18269.25,18276.5,18263.25,18270.75
2/26/2024 2:55:00 PM,18271.0,18283.0,18263.5,18265.5
2/26/2024 3:00:00 PM,18265.75,18273.25,18261.25,18264.0
2/26/2024 3:05:00 PM,18264.0,18266.0,18254.0,18261.25
2/26/2024 3:10:00 PM,18261.5,18269.5,18253.75,18267.5
2/26/2024 3:15:00 PM,18267.5,18284.0,18266.25,18274.0
2/26/2024 3:20:00 PM,18274.0,18281.25,18258.5,18261.25
2/26/2024 3:25:00 PM,18261.0,18268.75,18255.25,18259.0
2/26/2024 3:30:00 PM,18259.0,18267.75,18256.25,18261.75
